Score: 0.29919007420539856 Label: 0 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.87166690826416 17.634267807006836 -0.46209633350372314 2.0397937297821045 4.810268402099609 1.7881416082382202 0.0008360320935025811 9.516548016108572e-05 1.6367219686508179
Score: 0.12283401191234589 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 4.045767784118652 -7.564959526062012 0.5816228985786438 0.6928551197052002 1.6960339546203613 1.7320727109909058 0.0038963661063462496 0.043989818543195724 -2.8308582305908203
Score: 0.12060204148292542 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 13.428976058959961 21.940135955810547 -1.5703269243240356 0.5123270750045776 1.6506268978118896 1.1609784364700317 -5.579388617782399e-10 -2.31930585847806e-09 0.18736280500888824
Score: 0.11773105710744858 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -14.821741104125977 1.532549262046814 1.3017401695251465 0.7433212399482727 1.31514573097229 1.7010947465896606 -0.7068488001823425 0.8270015716552734 1.9009634256362915
Score: 0.11573082208633423 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -14.153923034667969 44.66600036621094 1.0786854028701782 0.7281938195228577 1.944566011428833 1.3701777458190918 0.010646948590874672 0.01349611021578312 -2.065927028656006
Score: 0.11374270170927048 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.691866874694824 -36.37662887573242 -2.3590967655181885 0.7699577808380127 1.9807217121124268 1.4903278350830078 0.08575955033302307 -0.44759297370910645 -0.18912459909915924
Score: 0.10976842790842056 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 27.3946590423584 -0.24845825135707855 -0.2897636890411377 0.7026556730270386 1.96219801902771 1.2732125520706177 -5.579388617782399e-10 -2.31930585847806e-09 1.5272972583770752
Score: 0.10709942877292633 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 0.8031943440437317 29.103271484375 0.35659122467041016 0.6791111826896667 1.9746687412261963 1.2765398025512695 -5.579388617782399e-10 -2.31930585847806e-09 -1.4496755599975586
Score: 0.10612013190984726 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -42.2544059753418 41.75826644897461 1.340325951576233 0.7658433318138123 1.9758251905441284 1.6462008953094482 0.14487886428833008 -0.2838136553764343 -1.3706181049346924
Score: 0.10550781339406967 Label: 7 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 7.576188087463379 29.613962173461914 0.779163658618927 0.6437075138092041 1.2148571014404297 1.642850399017334 -0.013239561580121517 0.1377382129430771 2.8491415977478027
Score: 0.10269243270158768 Label: 6 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 3.9294822216033936 9.298826217651367 -0.7200367450714111 0.6009276509284973 1.8695827722549438 1.2402104139328003 -5.579388617782399e-10 -2.31930585847806e-09 -0.03523727506399155
Score: 0.4274793267250061 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 7.611069679260254 29.495868682861328 0.5462815761566162 0.68425452709198 0.6933296322822571 1.8265873193740845 0.10979404300451279 0.816380500793457 -2.854410171508789
Score: 0.4191720187664032 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 4.859740734100342 -16.374839782714844 -1.5320825576782227 0.5982416868209839 0.6158589124679565 1.6283901929855347 -0.04957535117864609 0.023206794634461403 1.2086670398712158
Score: 0.386360764503479 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.925483226776123 20.903629302978516 -0.48897403478622437 0.31166717410087585 0.2993856370449066 1.1613396406173706 3.4111777291734313e-10 7.495020160064314e-10 -0.33565863966941833
Score: 0.3851163387298584 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 9.14883041381836 31.938404083251953 0.3566242456436157 0.7120642066001892 0.7432005405426025 1.8488625288009644 -0.058201998472213745 0.11721840500831604 1.4755396842956543
Score: 0.36160674691200256 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 8.940245628356934 25.034072875976562 -0.9692853093147278 0.35274866223335266 0.34091055393218994 0.9733611345291138 3.4111777291734313e-10 7.495020160064314e-10 0.06769465655088425
Score: 0.3223855495452881 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.551242828369141 -17.25403594970703 -1.587633728981018 0.49501025676727295 0.5147494077682495 1.507102608680725 -0.035984598100185394 0.1312536597251892 2.1575326919555664
Score: 0.2935378849506378 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 10.654470443725586 53.68242645263672 1.9748122692108154 0.7170522212982178 0.746256947517395 1.8105504512786865 -0.07802347838878632 -0.7474009394645691 0.14079590141773224
Score: 0.2834220826625824 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.953359603881836 5.187252044677734 -0.7875902652740479 0.3735648989677429 0.3906187415122986 0.8098701238632202 3.4111777291734313e-10 7.495020160064314e-10 1.6245818138122559
Score: 0.2743833065032959 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 4.604729652404785 20.89470863342285 -0.20632842183113098 0.3985186815261841 0.4037870168685913 1.172766923904419 0.003255173796787858 -0.0023196954280138016 -0.20062391459941864
Score: 0.25190818309783936 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 3.4180779457092285 40.45060348510742 1.1633504629135132 0.6297996640205383 0.6398926973342896 1.7843987941741943 0.06509344279766083 0.07539635896682739 -1.855930209159851
Score: 0.2365168184041977 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 10.526900291442871 38.12673568725586 1.0550578832626343 0.6409618854522705 0.6562930345535278 1.7578240633010864 0.01563730090856552 0.06259846687316895 -2.315248966217041
Score: 0.23584334552288055 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 13.344523429870605 21.894968032836914 -1.285830020904541 0.4058212339878082 0.4038267433643341 0.9366437792778015 0.00010752795060398057 1.3072969522909261e-05 1.4263789653778076
Score: 0.2355988472700119 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 7.0888800621032715 34.35821533203125 0.4642069935798645 0.6430438160896301 0.6628420352935791 1.6815418004989624 0.00306821265257895 -0.03144560009241104 0.5180127620697021
Score: 0.23524650931358337 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.499964237213135 41.86825180053711 1.139230728149414 0.616870641708374 0.6291747093200684 1.7080097198486328 -0.08035207539796829 -0.05250313878059387 -0.13741472363471985
Score: 0.2306729257106781 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 3.7687385082244873 41.488277435302734 1.3161664009094238 0.615638792514801 0.6439170241355896 1.7444623708724976 0.026126278564333916 0.1535138636827469 -0.35402676463127136
Score: 0.22763538360595703 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.36767864227295 21.34041404724121 0.07821407914161682 0.6671573519706726 0.7032682299613953 1.8901028633117676 0.02615690976381302 -0.1116243377327919 2.155965566635132
Score: 0.210220605134964 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -36.77667236328125 52.52757263183594 1.659926176071167 0.6501069664955139 0.6826209425926208 1.787949800491333 0.0522443987429142 -0.0448019877076149 -1.945716142654419
Score: 0.1990732103586197 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 9.979905128479004 17.02757453918457 -1.4374902248382568 0.3624305725097656 0.35971322655677795 0.9364291429519653 0.00010160000965697691 -0.0006521191680803895 -0.09568251669406891
Score: 0.19797635078430176 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.485735893249512 -5.592341423034668 -0.5266950130462646 0.45876359939575195 0.45463675260543823 1.392635464668274 3.4111777291734313e-10 7.495020160064314e-10 -0.7147110104560852
Score: 0.19403819739818573 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 7.655610084533691 42.944461822509766 1.2455416917800903 0.5677005052566528 0.5783489942550659 1.5960718393325806 -0.00884873978793621 0.0028585512191057205 0.27880436182022095
Score: 0.1930045187473297 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.101860046386719 -7.054182052612305 -0.8572096228599548 0.6532968878746033 0.7164337635040283 1.69202721118927 -0.0034383165184408426 -0.004568654112517834 -0.7993874549865723
Score: 0.1883966326713562 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 14.758344650268555 21.879535675048828 0.331332802772522 0.6744552850723267 0.7197759747505188 1.9175989627838135 -0.08955617994070053 -0.09633500128984451 0.43499308824539185
Score: 0.18485106527805328 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.307584285736084 -17.54991340637207 -1.4708584547042847 0.6192416548728943 0.6556068658828735 1.6747479438781738 -0.15121780335903168 0.14616890251636505 2.1546173095703125
Score: 0.183458149433136 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.286919593811035 6.1244683265686035 -0.7816890478134155 0.3329012095928192 0.3553158640861511 0.7459813356399536 3.4111777291734313e-10 7.495020160064314e-10 1.5795913934707642
Score: 0.17202714085578918 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -14.781878471374512 1.5310568809509277 1.3171697854995728 0.6577731370925903 0.7144812941551208 1.861585021018982 -0.4849618673324585 -0.03569880500435829 1.4308838844299316
Score: 0.168612539768219 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.894002437591553 8.933241844177246 -1.9238561391830444 0.3335708975791931 0.34311944246292114 0.7176271677017212 0.002362365135923028 0.0011127169709652662 0.5381256937980652
Score: 0.16689524054527283 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.77718448638916 21.319196701049805 -0.10216803848743439 0.6410990357398987 0.6516440510749817 1.8287227153778076 0.041129667311906815 -0.04740983620285988 2.0284996032714844
Score: 0.16659091413021088 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 2.0624840259552 16.975435256958008 -1.6147513389587402 0.3708137273788452 0.37930941581726074 1.0440435409545898 1.0992741408699658e-05 -6.068376387702301e-05 1.0463557243347168
Score: 0.16619525849819183 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 14.790699005126953 21.34218978881836 -0.12565794587135315 0.6537615656852722 0.6759494543075562 1.824292778968811 -0.06770505011081696 -0.0379868820309639 0.7854351997375488
Score: 0.15912014245986938 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -42.26829147338867 41.843868255615234 1.5836050510406494 0.6321714520454407 0.6470648646354675 1.7161545753479004 0.06926976889371872 0.03569379448890686 0.7020560503005981
Score: 0.15898077189922333 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -8.694440841674805 -3.9894862174987793 -1.27354896068573 0.34724393486976624 0.3408433496952057 0.7598302960395813 3.4111777291734313e-10 7.495020160064314e-10 -0.4693497121334076
Score: 0.15490195155143738 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.32962417602539 20.854873657226562 -0.3252219259738922 0.6228146553039551 0.6399272084236145 1.7727195024490356 -0.0005556154646910727 0.00019410534878261387 2.807422637939453
Score: 0.15489134192466736 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 16.01873207092285 12.970159530639648 -1.8563156127929688 0.44390082359313965 0.457059383392334 1.3912566900253296 -0.008302925154566765 -0.0024378751404583454 1.810445785522461
Score: 0.1526370793581009 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -29.76643180847168 39.80082321166992 0.950160026550293 0.6974579691886902 0.7308482527732849 1.8484623432159424 0.14798229932785034 0.006506722420454025 -1.4839197397232056
Score: 0.1505131721496582 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -10.3536376953125 5.231211185455322 -0.7986428737640381 0.39217352867126465 0.44052672386169434 0.7507355213165283 0.00018887508485931903 5.692872582585551e-05 1.8772118091583252
Score: 0.1415317803621292 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 31.022510528564453 17.010156631469727 -0.6052106618881226 0.6493536233901978 0.6553660035133362 1.731142520904541 -0.0019417012808844447 0.0003913527471013367 -0.7567937970161438
Score: 0.14111760258674622 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.799895763397217 -0.8323541283607483 0.09946805238723755 0.5129938721656799 0.5069900751113892 1.474501371383667 3.4111777291734313e-10 7.495020160064314e-10 1.5429071187973022
Score: 0.13932938873767853 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 7.900641918182373 25.467227935791016 0.10237717628479004 0.5173380970954895 0.5122067332267761 1.4577404260635376 3.4111777291734313e-10 7.495020160064314e-10 -1.9886691570281982
Score: 0.13874055445194244 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.029717445373535 17.017248153686523 -1.1506710052490234 0.3281640410423279 0.3317127823829651 1.1499062776565552 3.4111777291734313e-10 7.495020160064314e-10 0.924538254737854
Score: 0.13576985895633698 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 5.582512855529785 -2.592711925506592 -0.7912071347236633 0.4079832136631012 0.4093816876411438 1.0792505741119385 3.4111777291734313e-10 7.495020160064314e-10 0.04385530948638916
Score: 0.13371959328651428 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 2.0564002990722656 13.0548734664917 -0.8936054706573486 0.41499343514442444 0.41712844371795654 1.188056230545044 3.4111777291734313e-10 7.495020160064314e-10 2.053128242492676
Score: 0.1335156410932541 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 3.4913017749786377 41.15647506713867 1.2285925149917603 0.6568545699119568 0.6805950999259949 1.793868899345398 0.0007275756215676665 0.02091786079108715 -0.9813385009765625
Score: 0.13347576558589935 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.19543170928955 35.27296447753906 0.7284655570983887 0.542813241481781 0.5477004051208496 1.4222725629806519 -0.003989869263023138 -0.001789501286111772 -2.661395311355591
Score: 0.1331237554550171 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -36.2885627746582 22.944271087646484 -2.9938199520111084 0.5024686455726624 0.5029374957084656 1.449547529220581 0.08424241840839386 -0.028306610882282257 1.0923889875411987
Score: 0.132413849234581 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.412150382995605 5.9240546226501465 -0.8287537693977356 0.3624172806739807 0.38772040605545044 0.7576357126235962 3.4111777291734313e-10 7.495020160064314e-10 1.8402557373046875
Score: 0.13233910501003265 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -11.71369457244873 -23.259111404418945 -2.2348361015319824 0.28673824667930603 0.28214114904403687 1.0128083229064941 3.4111777291734313e-10 7.495020160064314e-10 -2.451207399368286
Score: 0.13107697665691376 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 14.124497413635254 25.51571273803711 0.18967771530151367 0.6435123682022095 0.633490264415741 1.740813136100769 3.4111777291734313e-10 7.495020160064314e-10 0.9809103012084961
Score: 0.12739869952201843 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 4.991979122161865 29.03826904296875 -0.806941032409668 0.3338208794593811 0.3317691385746002 1.173857569694519 -0.000677475007250905 -0.0010187344159930944 1.9610936641693115
Score: 0.12711076438426971 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 3.9456825256347656 17.033082962036133 -1.3304588794708252 0.34175771474838257 0.3561914563179016 1.0998769998550415 3.4111777291734313e-10 7.495020160064314e-10 1.6079611778259277
Score: 0.1259184330701828 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 4.887357234954834 20.84459686279297 -0.3092583417892456 0.39852872490882874 0.38749513030052185 1.1978192329406738 0.0005153569509275258 -8.948727190727368e-05 -0.16625124216079712
Score: 0.12430781871080399 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 28.0272159576416 -0.07931456714868546 -0.4034540355205536 0.4207291901111603 0.41202083230018616 0.9452160000801086 3.4111777291734313e-10 7.495020160064314e-10 2.2507333755493164
Score: 0.12413302809000015 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 14.500120162963867 53.70181655883789 1.7031527757644653 0.6880195140838623 0.7045302391052246 1.8008915185928345 0.11990705132484436 -0.17112787067890167 0.13289396464824677
Score: 0.12411147356033325 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 13.006455421447754 25.45476722717285 0.12485271692276001 0.6214628219604492 0.6244823336601257 1.6891462802886963 0.0037517279852181673 -0.002118052216246724 -1.704698085784912
Score: 0.12335953116416931 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 8.031237602233887 3.858322858810425 -0.792062520980835 0.38118430972099304 0.361599326133728 1.1356736421585083 0.0018488095374777913 -0.0009550132672302425 -2.462768077850342
Score: 0.12252792716026306 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -11.662571907043457 -22.461345672607422 -2.1050984859466553 0.29564428329467773 0.2874438762664795 1.0200765132904053 3.4111777291734313e-10 7.495020160064314e-10 -2.1668975353240967
Score: 0.12130271643400192 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 14.742167472839355 20.815221786499023 -0.4937778115272522 0.619195818901062 0.6319210529327393 1.7514228820800781 0.0014434464974328876 -0.0003419176209717989 1.3187267780303955
Score: 0.12010161578655243 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 6.7541632652282715 2.535916805267334 -0.3570372462272644 0.3474135994911194 0.3453519940376282 1.024369716644287 -3.979812754550949e-05 -0.0002678724122233689 -1.6208810806274414
Score: 0.11837289482355118 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 32.908451080322266 17.03032684326172 -0.4227526783943176 0.6578795313835144 0.6594949960708618 1.7289345264434814 -0.013005408458411694 -0.0001601783442310989 0.25962167978286743
Score: 0.11770559847354889 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 30.244064331054688 21.330398559570312 0.03829731047153473 0.6583969593048096 0.687955915927887 1.707824468612671 2.314328412467148e-06 -0.00025710201589390635 -2.5659947395324707
Score: 0.11600357294082642 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 7.914727210998535 26.5571346282959 0.41175347566604614 0.6411367654800415 0.6476399898529053 1.7410417795181274 -0.0005670752725563943 -0.003993584308773279 -0.25470539927482605
Score: 0.11431105434894562 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.773778915405273 21.742572784423828 0.14316964149475098 0.6616527438163757 0.6674295663833618 1.8662736415863037 0.08715268969535828 0.008938468061387539 1.8857680559158325
Score: 0.11349698901176453 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.192662239074707 -51.77773666381836 -3.481551170349121 0.5149074792861938 0.5210838913917542 1.4683092832565308 -0.008387656882405281 0.003031271742656827 -2.5566015243530273
Score: 0.11152681708335876 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -14.152549743652344 44.61286544799805 1.0595835447311401 0.5633659958839417 0.5691683888435364 1.612571120262146 0.017915142700076103 0.002099232980981469 -2.102465867996216
Score: 0.11139239370822906 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.192940711975098 13.035198211669922 -2.3484747409820557 0.4565630257129669 0.48906517028808594 1.1862194538116455 0.0003663141978904605 -0.000774357293266803 1.3938376903533936
Score: 0.10661201924085617 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 13.444201469421387 25.50203514099121 0.23809072375297546 0.656046986579895 0.6580414175987244 1.7506681680679321 -3.195839235559106e-05 -8.397851343033835e-05 -0.8381129503250122
Score: 0.10644803941249847 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.072164535522461 -8.032939910888672 -1.1416780948638916 0.49576613306999207 0.5123199224472046 1.3903870582580566 0.0006849578348919749 0.0018056815024465322 -1.9480981826782227
Score: 0.10574042797088623 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -10.134121894836426 -2.6636743545532227 -0.8165523409843445 0.4517744481563568 0.47135117650032043 1.0353631973266602 3.4111777291734313e-10 7.495020160064314e-10 -0.520779550075531
Score: 0.10556812584400177 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 21.97561264038086 17.001596450805664 -0.9629078507423401 0.6379623413085938 0.6246543526649475 1.7527011632919312 0.02869025617837906 -0.01346977986395359 -1.4600549936294556
Score: 0.10475359857082367 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 15.856781005859375 20.835350036621094 -0.3241892457008362 0.6325456500053406 0.6515419483184814 1.771874189376831 -5.522618266695645e-06 -3.717290019267239e-05 2.6592352390289307
Score: 0.104625403881073 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): -9.831988334655762 5.515683650970459 -0.7410071492195129 0.4535594582557678 0.5696666240692139 0.731579601764679 3.4111777291734313e-10 7.495020160064314e-10 2.208899736404419
Score: 0.1040588989853859 Label: 8 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 8.734261512756348 29.05121421813965 0.04556770622730255 0.6125788688659668 0.5939013957977295 1.5662645101547241 0.04933582618832588 0.061770275235176086 -2.6040406227111816
Score: 0.10105427354574203 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 4.971004486083984 21.083480834960938 -0.20219281315803528 0.42383256554603577 0.4383733868598938 1.2330554723739624 -0.008114803582429886 -0.002563074929639697 -0.03170762211084366
Score: 0.10100606828927994 Label: 9 Box(x_c, y_c, z_c, w, l, h, vec_x, vec_y, -rot): 9.93525505065918 25.008419036865234 -0.7197792530059814 0.4389891028404236 0.44515082240104675 1.1414028406143188 3.4111777291734313e-10 7.495020160064314e-10 0.3631362318992615
